topic,title,text
12,Rectification of mistake,"(1) A tax authority may amend any order passed by it under this Act 

so as to rectify any mistake apparent from the record. 

(2) No amendment under this section shall be made after a period of four years from the end of the 

financial year in which the order sought to be amended was passed. 

(3)  The  tax  authority  shall  not  make  any  amendment,  which  has  the  effect  of  enhancing  the 
undisclosed  foreign  income  and  asset  or  reducing  a  refund  or  otherwise  increasing  the  liability  of  the 
assessee, unless the authority concerned has given to the assessee an opportunity of being heard. 

("
13,Notice of demand,"Any sum payable in consequence of any order made under this Act shall be 
demanded by a tax authority by serving upon the assessee a notice of demand in such form and manner as 
may be prescribed. 

"
14,Direct assessment or recovery not barred,"Nothing in this Chapter shall prevent either the 
direct  assessment  of  the  person  on  whose  behalf  or  for  whose  benefit  the  undisclosed  income  from  a 
source  located  outside  India  is  receivable  or  undisclosed  asset  located  outside  India  is  held,  or  the 
recovery from such person of the tax or any other sum of money payable in respect of such income and 
asset. 

15. Appeals to the Commissioner (Appeals).—("
16,Procedure  to  be  followed  in  appeal,"(1)  The  Commissioner  (Appeals)  shall  fix  a  date  and 
place for the hearing of the appeal, and shall give notice of the same to the appellant and the Assessing 
Officer against whose order the appeal is preferred. 

(2) The following shall have the right to be heard at the hearing of the appeal, namely:— 

(a) the appellant, either in person or by an authorised representative; 
(b) the Assessing Officer, either in person or by a representative. 

(3)  The  Commissioner  (Appeals)  may  adjourn  the  hearing  of  the  appeal  whenever  he  considers  it 

necessary or expedient to do so. 

(4) The Commissioner (Appeals) may, before disposing of any appeal, make such further inquiry as 

he thinks fit. 

(5)  The  Commissioner  (Appeals)  may,  during  the  proceedings  before  him,  direct  the  Assessing 

Officer to make an inquiry and report to him on the points arising out of any question of law or fact. 

(6) The Commissioner (Appeals) may, at the hearing of an appeal, allow the appellant to go into any 
ground of appeal not specified in the grounds of appeal, if the Commissioner (Appeals) is satisfied that 
the omission was not wilful or unreasonable. 

(7) The order of the Commissioner (Appeals) disposing of the appeal shall be in writing and shall 

state the points for determination, the decision thereon and the reasons therefor. 

10 

(8)  Every  appeal  preferred  under  section  15  shall  be  heard  and  disposed  of  by  the  Commissioner 
(Appeals) as expeditiously as possible and endeavour shall be made to dispose of such appeal within a 
period of one year from the end of the financial year in which the appeal is preferred. 

(9) On the disposal of the appeal, the Commissioner (Appeals) shall communicate the order passed by 
him to the assessee and to the Principal Chief Commissioner or the Chief Commissioner or the Principal 
Commissioner or the Commissioner. 

17.  Powers  of  Commissioner  (Appeals).—(1)  In  disposing  of  an  appeal,  the  Commissioner 

(Appeals) shall have the following powers, namely:— 

(a) in an appeal against an order of assessment, he may confirm, reduce, enhance or annul the 

assessment; 

(b) in an appeal against an order imposing a penalty, he may confirm or cancel such order; 
(c)  in  any  other  case,  he  may  determine  the  issues  arising  in  the  appeal  and  pass  such  orders 

thereon, as he thinks fit. 
(2) The Commissioner (Appeals) may consider and decide any matter which was not considered by 

the Assessing Officer. 

(3) The Commissioner (Appeals) shall not enhance an assessment or a penalty unless the appellant 

has been given an opportunity of being heard. 

(4)  In  disposing  of  an  appeal,  the  Commissioner  (Appeals)  may  consider  and  decide  any  matter 
arising out of the proceedings in which the order appealed against was passed, notwithstanding that such 
matter was not raised before him by the appellant. 

"
18,Appeals  to  Appellate  Tribunal,"(1)  Any  assessee  aggrieved  by  an  order  passed  by  the 
Commissioner  (Appeals)  under  section  15,  or  an  order  passed  by  the  Principal  Commissioner  or  the 
Commissioner under any provision of this Act, may appeal to the Appellate Tribunal against such order. 

(2) The Principal Commissioner or the Commissioner may, if he objects to any order passed by the 
Commissioner (Appeals) under any provision of this Act, direct the Assessing Officer to appeal to the 
Appellate Tribunal against the order. 

(3) Every appeal under sub-section (1) or sub-section (2) shall be filed within a period of sixty days 
from the date on which the order sought to be appealed against is communicated to the assessee or to the 
Principal Commissioner or the Commissioner, as the case may be. 

(4) The Assessing Officer or the assessee, as the case may be, on receipt of notice that an  appeal 
against  the  order  of  the  Commissioner  (Appeals)  has  been  preferred  under  sub-section  (1)  or  
sub-section (2) by the other party may, notwithstanding that he may not have appealed against such order 
or any part thereof, within thirty days of the receipt of the notice, file a memorandum of cross-objections, 
verified in the prescribed manner, against any part of the order of the Commissioner (Appeals), and such 
memorandum shall be disposed of by the Appellate Tribunal as if it were an appeal presented within the 
time specified in sub-section (3). 

(5)  The  Appellate  Tribunal  may  admit  an  appeal  or  permit  the  filing  of  a  memorandum  of  cross-

objections after the expiry of the period referred to in sub-section (3) or sub-section (4), if — 

(a) it is satisfied that there was sufficient cause for not presenting it within that period; and 
(b) the delay in filing the appeal does not exceed a period of one year. 

11 

(6) An appeal to the Appellate Tribunal shall be filed in such form, and verified in such manner, and 
shall, except in the case of an appeal referred to in sub-section (2) or a memorandum of cross-objections 
referred to in sub-section (4), be accompanied by a fee as may be prescribed. 

(7) Subject to the provisions of this Act, in hearing and making an order on any appeal under this 
section, the Appellate Tribunal shall exercise the same powers and follow the procedure as it exercises 
and follows in hearing and making an order on any appeal under the Income-tax Act. 

"
19,Appeal to High Court,"(1) An appeal shall lie to the High Court from every order passed in 
appeal  by  the  Appellate  Tribunal,  if  the  High  Court  is  satisfied  that  the  case  involves  a  substantial 
question of law. 

(2) The Principal Chief Commissioner or the Chief Commissioner or the Principal Commissioner or 
the Commissioner or an assessee, may file an appeal to the High Court on being aggrieved by any order 
passed by the Appellate Tribunal and such appeal shall be — 

(a)  filed  within  a  period  of  one  hundred  and  twenty  days  from  the  date  on  which  the  order 
appealed against is received by the Principal Chief Commissioner or the Chief Commissioner or the 
Principal Commissioner or the Commissioner or the assessee; 

(b) in the form of a memorandum of appeal precisely stating therein the substantial question of 

law involved. 
(3) The High Court may admit an appeal after the expiry of the period of one hundred and twenty 
days referred to in sub-section (2), if it is satisfied that there was sufficient cause for not filing the appeal 
within that period. 

(4) If the High Court is satisfied that a substantial question of law is involved in any case, it shall 

formulate that question. 

(5) The appeal shall be heard only on the question so formulated, and the respondents shall, at the 

hearing of the appeal, be allowed to argue that the case does not involve such question. 

(6) Notwithstanding anything in sub-sections (4) and (5), the High Court may exercise its power to 
hear the appeal on any other substantial question of law not formulated by it, if it is satisfied that the case 
involves such question of law. 

(7) The High Court shall decide the question of law so formulated and deliver such judgment thereon 

containing the grounds on which such decision is founded and may award such cost as it deems fit. 

("
20,Case before High Court to be heard by not less than two Judges,"(1) An appeal filed before 
the High Court shall be heard by a Bench of not less than two Judges of the High Court and shall be 

12 

decided in accordance with the opinion of such Judges or if the Bench is of more than two Judges, by the 
majority of such Judges. 

(2) Where there is no such majority, the Judges shall state the point of law upon which they differ and 
the case shall then be heard upon that point only by one or more of the other Judges of the High Court and 
such point shall be decided according to the opinion of the majority of the Judges who have heard the 
case including those who first heard it. 

"
21,Appeal to Supreme Court,"An appeal shall lie to the Supreme Court from any judgment of the 
High Court delivered under section 19 which the High Court certifies to be a fit case for appeal to the 
Supreme Court. 

"
22,Hearing  before  Supreme  Court,"(1)  The  provisions  of  the  Code  of  Civil  Procedure,  1908 
(5 of 1908), relating to appeals to the Supreme Court shall, so far as may be, apply in the case of appeals 
under section 21 as they apply in the case of appeals from decrees of a High Court. 

(2) The costs of the appeal shall be in the discretion of the Supreme Court. 
(3) Where the judgment of the High Court is varied or reversed in the appeal, effect shall be given to 

the order of the Supreme Court in the manner provided in sub-section (10) of section 19. 

"
23,Revision  of  orders  prejudicial  to  revenue,"(1)  The  Principal  Commissioner  or  the 
Commissioner may, for the purposes of revising any order passed in any proceeding under this Act before 
any tax authority subordinate to him, call for and examine all available records relating thereto. 

(2) The Principal Commissioner or the Commissioner may, after giving the assessee an opportunity of 
being heard, pass an order (hereinafter referred to as the revision order) as the circumstances of the case 
justify, if he is satisfied that the order sought to be revised is erroneous in so far as it is prejudicial to the 
interests of the revenue. 

(3) The Principal Commissioner or the Commissioner may make, or cause to be made, such inquiry 

as he considers necessary for the purposes of passing an order under sub-section (2). 

(4)  The  revision  order  passed  by  the  Principal  Commissioner  or  the  Commissioner  under  
sub-section (2) may have the effect of enhancing or modifying the assessment but shall not be an order 
cancelling the assessment and directing a fresh assessment. 

(5) The power of the Principal Commissioner or the Commissioner under sub-section (2) for revising 

an order shall extend to such matters as have not been considered and decided in any appeal. 

(6) No order under sub-section (2) shall be made after the expiry of a period of two years from the 

end of the financial year in which the order sought to be revised was passed. 

(7) Notwithstanding anything in sub-section (6), an order in revision under this section may be passed 
at any  time in respect of an order which has been passed  in  consequence  of, or  to give effect to,  any 
finding or direction contained in an order of the Appellate Tribunal, the High Court or the Supreme Court. 
(8) In computing the period of limitation under sub-section (6), the following shall not be included, 

namely:— 

(a) the time taken in giving an opportunity to the assessee to be reheard under section 7; or 
(b) any period during which any proceeding under this section is stayed by an order or injunction 

of any court. 

13 

(9) Without prejudice to the generality of the foregoing provisions, an order passed by a tax authority 
shall  be  deemed  to  be  erroneous  in  so  far  as  it  is  prejudicial  to  the  interests  of  the  revenue,  if  in  the 
opinion of the Principal Commissioner or the Commissioner— 

(a) the order is passed without making inquiries or verification which, should have been made; or 
(b) the order has not been made in accordance with any order, direction or instruction issued by 

the Board; or 

(c) the order has not been  passed in accordance with  any decision,  prejudicial  to the  assessee, 
rendered by the jurisdictional High Court or the Supreme Court in the case of the assessee or any 
other person under this Act or the Income-tax Act. 
(10)  In  this  section,  “record”  shall  include  all  records  relating  to  any  proceeding  under  this  Act 

available at the time of examination by the Principal Commissioner or the Commissioner. 

"
24,Revision of other orders,"(1) The Principal  Commissioner or the Commissioner may, either 
suo-motu or on an application made by the assessee, for the purposes of revising any order passed by an 
authority subordinate to him, other than an order to which section 23 applies, call for and examine all 
available records relating thereto. 

(2) The Principal Commissioner or the Commissioner may pass an order, as he considers necessary, 

which is not prejudicial to the assessee. 

(3) The power of the Principal Commissioner or the Commissioner under sub-section ("
25,Tax to be paid pending appeal,"Notwithstanding any appeal preferred to the High Court or the 

Supreme Court, the tax shall be paid in accordance with the assessment made under this Act. 

"
26,Execution of order for costs awarded by Supreme Court,"The High Court may, on petition 
made for the execution of the order in respect of the costs awarded by the Supreme Court, transmit such 
order for execution to any court subordinate to it. 

"
27,Amendment  of  assessment  on  appeal,"Where  as  a  result  of  an  appeal  under  section  15  or 
section 18, any change is made in the assessment of a body of individuals or an association of persons or 
an  order  for  new  assessment  of  a  body  of  individuals  or  an  association  of  persons  is  made,  the 
Commissioner (Appeals) or the Appellate Tribunal, as the case may be, shall pass an order authorising the 
Assessing Officer either to amend the assessment made or make a fresh assessment on any member of the 
body or association. 

"
28,Exclusion of time taken for obtaining copy,"In computing the period of limitation prescribed 
for  an  appeal  under  this  Act,  the  day  on  which  the  notice  of  the  order  was  served  upon  the  assessee 
without serving a copy of the order, the time taken for obtaining a copy of such order, shall be excluded. 

"
29,Filing  of  appeal  by  tax  authority,"(1)  The  Board  may,  from  time  to  time,  issue  orders, 
instructions or directions to other tax authorities, fixing such monetary limits as it may deem fit, for the 
purpose of regulating the filing of appeal by any tax authority under this Chapter. 

(2) Where, in pursuance of the orders, instructions or directions issued under sub-section (1), a tax 
authority has not filed any appeal on any issue in the case of an assessee for any financial year, it shall not 
preclude such authority from filing an appeal on the same issue in the case of— 

(a) the same assessee for any other financial year; or 
(b) any other assessee for the same or any other financial year. 

(3)  Notwithstanding  that  no  appeal  has  been  filed  by  a  tax  authority  pursuant  to  the  orders  or 
instructions or directions issued under sub-section (1), it shall not be lawful for an assessee, being a party 
in any appeal, to contend that the tax authority has acquiesced in the decision on the disputed issue by not 
filing an appeal in any case. 

(4)  The  Appellate  Tribunal,  hearing  such  appeal,  shall  have  regard  to  the  orders,  instructions  or 
directions issued under sub-section (1) and the circumstances under which such appeal was filed or not 
filed in respect of any case. 

(5) Every order, instruction or direction which has been issued by the Board fixing monetary limits 
for  filing  an  appeal  shall  be  deemed  to  have  been  issued  under  sub-section  (1)  and  the  provisions  of  
sub-sections (2), (3) and (4) shall apply accordingly. 

"
30,Recovery of tax dues by Assessing Officer,"(1) Any amount specified as payable in a notice of 
demand under section 13 shall be paid within a period of thirty days of the service of the notice, to the 
credit of the Central Government in such manner as may be prescribed. 

(2) Where the Assessing Officer has any reason to believe that it will be detrimental to the interests of 
revenue, if the period of thirty days referred to in sub-section (1) is allowed, he may, with the previous 
approval of the Joint Commissioner, reduce such period as he deems fit. 

15 

(3) The Assessing Officer may, on an application made by the assessee, before the expiry of a period 
of  thirty  days  or  the  period  reduced  under  sub-section  (2)  or  during  the  pendency  of  appeal  with  the 
Commissioner (Appeals), extend the time for payment, or allow payment by instalments, subject to such 
conditions as he may think fit to impose in the circumstances of the case. 

(4) An assessee shall be deemed to be an assessee in default, if the tax arrear is not paid within the 
time  allowed  under  sub-section  (1)  or  the  period  reduced  under  sub-section  (2)  or  extended  under  
sub-section (3), as the case may be. 

(5)  Where  an  assessee  defaults  in  paying  any  one  of  the  instalments  within  the  time  fixed  under  
sub-section  (3),  he  shall  be  deemed  to  be  an  assessee  in  default  in  respect  of  the  whole  of  the  then 
outstanding amount. 

(6) The Assessing Officer may, in a case where no certificate has been drawn up under section 31 by 
the Tax Recovery Officer, recover the amount in respect of which the assessee is in default, or is deemed 
to be in default, by any one or more of the modes provided in section 32. 

(7) The Tax Recovery Officer shall be vested with the powers to recover the tax arrear on drawing up 

of a statement of tax arrear under section 31. 

"
31,Recovery of tax dues by Tax Recovery Officer,"(1) The Tax Recovery Officer may draw up 
under  his  signature  a  statement  of  tax  arrears  of  an  assessee  referred  to  in  sub-section  (4)  or  
sub-section (5) of section 30, in such form, as may be prescribed (such statement hereafter in this Chapter 
referred to as “certificate”). 

(2) The certificate under sub-section (1) shall stand amended from time to time consequent to any 

proceeding under this Act and the Tax Recovery Officer shall recover the amount so modified. 

(3) The Tax Recovery Officer may rectify any mistake apparent from the record. 
(4) The Tax Recovery Officer shall have the power to extend the time for payment, or allow payment 

by instalments, subject to such conditions as he may think fit to impose in the circumstances of the case. 

(5) The Tax Recovery Officer shall proceed to recover from the assessee the amount specified in the 
certificate  by  one  or  more  of  the  modes  referred  to  in  section  32  or  in  the  Second  Schedule  to  the  
Income-tax Act. 

(6) It shall not be open to the assessee to dispute the correctness of any certificate drawn up by the 
Tax Recovery Officer on any ground whatsoever, but it shall be lawful for the Tax Recovery Officer to 
cancel the certificate if, for any reason, he thinks it necessary so to do. 

"
32,Modes of recovery of tax dues,"(1) The Assessing Officer or the Tax Recovery Officer may 
require  the  employer  of  the  assessee  to  deduct  from  any  payment  to  the  assessee  such  amount  as  is 
sufficient to meet the tax arrear from the assessee. 

(2) Upon requisition under sub-section (1), the employer shall comply with the requisition and shall 

pay the sum so deducted to the credit of the Central Government in such manner as may be prescribed. 

(3) Any part of the salary, exempt from attachment in execution of a decree of a civil court under 
section 60 of the Code of Civil Procedure, 1908 (5 of 1908), shall be exempt from any requisition made 
under sub-section (1). 

(4) The Assessing Officer or the Tax Recovery Officer may, by notice in writing, require any debtor 
of the assessee to pay such amount, not exceeding the amount of debt, as is sufficient to meet the tax 
arrear of the assessee. 

16 

(5) Upon receipt of the notice under sub-section (4), the debtor shall comply with the requisition and 
shall pay the sum to the credit of the Central Government in such manner as may be prescribed within the 
time (not being before the debt becomes due to the assessee) specified in the notice. 

(6) A copy of the notice issued under sub-section (4) shall be forwarded to the assessee at his last 
address known to the Assessing Officer or the Tax Recovery Officer and in the case of a joint account, to 
all the joint holders at their last addresses known to the Assessing Officer or the Tax Recovery Officer. 

(7) It shall not be necessary for any pass book, deposit receipt, policy or any other document to be 
produced  for  the  purpose  of  any  entry,  endorsement  or  the  like  being  made  before  payment  is  made, 
notwithstanding any rule, practice or requirement to the contrary if the notice under sub-section  (4) is 
issued to a post office, banking company, insurer or any other person. 

(8) Any claim in respect of any property, in relation to which a notice under sub-section (4) has been 

issued, arising after the date of the notice, shall be void as against any demand contained in the notice. 

(9) A person to whom a notice under sub-section (4) has been issued, shall not be required to pay the 
amount of tax arrear specified therein, or part thereof, if he objects to it by a statement on oath that the 
sum demanded, or any part thereof, is not due to the assessee or that he does not hold any money for, or 
on account of, the assessee. 

(10) The person referred to in sub-section (9) shall be personally liable to the Assessing Officer or the 
Tax Recovery Officer, as the case may be, to the extent of his own liability to the assessee on the date of 
the notice, or to the extent of the liability of the assessee for any sum due under this Act, whichever is 
less, if it is discovered that the statement made by him was false in any respect. 

(11)  The  Assessing  Officer  or  the  Tax  Recovery  Officer  may  amend  or  revoke  any  notice  issued 

under sub-section (4) or extend the time for making any payment in pursuance of such notice. 

(12) The Assessing Officer or the Tax Recovery Officer shall grant a receipt for any amount paid in 
compliance with a notice issued under sub-section (4), and the person so paying shall be fully discharged 
from his liability to the assessee to the extent of the amount so paid. 

(13) Any person discharging any liability to the assessee after receipt of a notice under sub-section (4) 
shall be personally liable to the Assessing Officer or the Tax Recovery Officer to the extent of his own 
liability to the assessee so discharged or to the extent of the liability of the assessee for any sum due under 
this Act, whichever is less. 

(14) The debtor to whom a notice under sub-section (4) is sent shall be deemed to be an assessee in 
default, if he fails to make such payment and further proceedings may be initiated against him for the 
realisation  of  the  amount  in  the  manner  provided  in  this  section  and  the  Second  Schedule  to  the  
Income-tax Act. 

(15) The Assessing Officer or the Tax Recovery Officer may apply to the court, in whose custody 
there is money belonging to the assessee, for payment to him of the entire amount of such money or if it 
is more than the tax arrear, an amount sufficient to meet the tax arrear. 

(16) The Assessing Officer or the Tax Recovery Officer shall effect the recovery of any tax arrear in 
the same manner as attachment, distraint and sale of any movable property under the Second Schedule to 
the  Income-tax  Act,  if  he  is  so  authorised  by  the  Principal  Chief  Commissioner  or  the  Chief 
Commissioner, or the Principal Commissioner or the Commissioner, by general or special order. 

17 

("
33,Tax Recovery Officer by whom recovery of tax dues is to be effected,(
34,Recovery of tax dues in case of a company in liquidation,"(1) The liquidator shall inform the 
Assessing  Officer,  who  has  jurisdiction  to  assess  the  undisclosed  foreign  income  and  asset  of  the 
company, of his appointment within a period of thirty days of his becoming the liquidator. 

(2) The Assessing Officer shall, within a period of three months from the date on which he receives 
the  information,  intimate  to  the  liquidator  the  amount  which,  in  his  opinion,  would  be  sufficient  to 
provide for any tax arrears or any amount which is likely to become payable thereafter, by the company 
under this Act. 

("
